,id,age,gender,race,city,state,Year
0,2177,42.0,Male,White,Springfield,OH,2017
1,2178,17.0,Male,Black,Villa Park,IL,2017
2,2184,35.0,Male,White,Woodstock,GA,2017
3,2185,23.0,Male,Hispanic,Houston,TX,2017
4,2187,21.0,Male,Black,Allen,TX,2017
5,2188,53.0,Male,White,Gilmer,TX,2017
6,2190,18.0,Male,White,Brooklyn,NY,2017
7,2191,51.0,Male,Black,Pomona,CA,2017
8,2192,64.0,Male,White,Lancaster,KY,2017
9,2193,45.0,Male,White,English,IN,2017
10,2194,20.0,Male,Hispanic,Dinuba,CA,2017
11,2195,41.0,Male,White,Monteagle,TN,2017
12,2197,23.0,Male,White,Sharon,PA,2017
13,2196,25.0,Male,White,Princeton,WV,2017
14,2198,42.0,Male,White,Fairland,OK,2017
15,2199,41.0,Male,White,Elkridge,MD,2017
16,2201,31.0,Male,Hispanic,Northglenn,CO,2017
17,2202,50.0,Male,Hispanic,Independence,MO,2017
18,2203,38.0,Male,Hispanic,Albuquerque,NM,2017
19,2204,44.0,Male,White,Cumming,GA,2017
20,2205,38.0,Male,Black,Phoenix,AZ,2017
21,2206,21.0,Male,Black,St. Louis,MO,2017
22,2207,32.0,Male,White,Los Angeles,CA,2017
23,2209,41.0,Male,White,Austin,MN,2017
24,2210,41.0,Male,Other,Lake Elsinore,CA,2017
25,2215,38.0,Male,Hispanic,Camden,NJ,2017
26,2211,54.0,Male,White,Ocala,FL,2017
27,2224,20.0,Male,Native,Vineland,MN,2017
28,2227,26.0,Male,White,Pearisburg,VA,2017
29,2218,29.0,Male,Other,Kahuku,HI,2017
30,2221,47.0,Male,White,Austin,TX,2017
31,2216,48.0,Male,White,Azusa,CA,2017
32,2219,34.0,Male,Black,Chicago,IL,2017
33,2212,36.0,Male,White,Tyrone,GA,2017
34,2213,43.0,Male,White,Fulton,KY,2017
35,2226,29.0,Male,White,Soddy-Daisy,TN,2017
36,2229,39.0,Male,Hispanic,Twentynine Palms,CA,2017
37,2228,40.0,Male,White,Watts,OK,2017
38,2231,21.0,Female,White,Dallas,TX,2017
39,2232,50.0,Male,White,Los Angeles,CA,2017
40,2243,19.0,Male,Black,Gary,IN,2017
41,2245,28.0,Male,Native,Grand Forks,ND,2017
42,2242,49.0,Male,White,Woodford,VA,2017
43,2244,44.0,Male,Hispanic,Fritch,TX,2017
44,2240,39.0,Male,White,Gainesville,FL,2017
45,2237,44.0,Male,Black,Greenville,MS,2017
46,2233,57.0,Male,White,Waldoboro,ME,2017
47,2234,57.0,Male,Black,Pittsburgh,PA,2017
48,2238,33.0,Male,Hispanic,Carson,CA,2017
49,2235,21.0,Male,Hispanic,Vallejo,CA,2017
50,2248,52.0,Male,White,Brooklet,GA,2017
51,2249,27.0,Male,White,Springfield,IL,2017
52,2251,60.0,Male,White,Wilmington,DE,2017
53,2246,34.0,Male,Hispanic,Atascadero,CA,2017
54,2247,22.0,Male,White,Sugar Creek,MO,2017
55,2254,26.0,Male,Black,New Orleans,LA,2017
56,2255,27.0,Male,Hispanic,Bakersfield,CA,2017
57,2256,29.0,Male,Hispanic,Las Cruces,NM,2017
58,2257,30.0,Male,White,Algoma Township,MI,2017
59,2259,32.0,Male,Hispanic,Kuna,ID,2017
60,2260,37.0,Male,White,Oxford,AL,2017
61,2261,54.0,Male,Black,Southaven,MS,2017
62,2262,50.0,Male,White,Millston,WI,2017
63,2265,28.0,Male,Hispanic,Charlotte,NC,2017
64,2266,59.0,Male,White,Overlea,MD,2017
65,2267,24.0,Male,Black,Atlanta,GA,2017
66,2268,34.0,Male,White,Madison Township,OH,2017
67,2272,25.0,Male,Hispanic,Alhambra,CA,2017
68,2273,25.0,Male,Hispanic,Fort Stockton,TX,2017
69,2274,17.0,Male,Black,Des Moines,WA,2017
70,2706,48.0,Male,White,Eau Claire,WI,2017
71,2707,45.0,Male,White,Apache Junction,AZ,2017
72,2275,18.0,Male,Hispanic,Santa Ana,CA,2017
73,2269,50.0,Male,Black,Kiowa,OK,2017
74,2270,36.0,Male,White,Lynnwood,WA,2017
