#,Country,City,Industry,Company
1,USA,,College,
2,United Arab Emirates,,Shipyard?,
3,Austria,Vienna,Bank,Bank99
4,Austria,,Company?,
5,Austria,,Company?,
6,Austria,Vienna,Financial Market Authority,Finanzmarktaufsichtsbehörde FMA
7,Australia,Sydney NSW,Acounting firm,PwC Australia
8,Australia,Melbourne VIC,Facility management company,
9,Australia,,Gaming technology?,
10,Australia,Melbourne VIC,Health insurer,Medibank
11,Australia,Perth WA,Mining company,Fortescue
12,Belgium,Zaventem,Automotive supplier,Toyota Boshoku Europe
13,Bermuda,,Company?,
14,Bermuda,,Insurance company,Lombard International Life Assurance Company
15,Brazil,,Insurance?,
16,Canada,Liverpool NS,Administrative entity,Region of Queens Municipality
17,Canada,,Association?,
18,Canada,Halifax NS,City government,Halifax Regional Municipality
19,Canada,,Communication technology provider,
20,Canada,Halifax NS,Correctional Services,Department of Justice - Correctional Services
21,Canada,Halifax NS,Department of education,Department of Education and Early Childhood Development
22,Canada,Halifax NS,Department of Labor and Immigration,"Department of Labour, Skills and Immigration"
23,Canada,Halifax NS,Drug prescription monitoring,Nova Scotia Prescription Monitoring Program (NSPMP)
24,Canada,Dartmouth NS,Election Authority,Elections Nova Scotia
25,Canada,,Engineering Group?,
26,Canada,,Furnishing chain?,
27,Canada,Halifax NS,Health Department,Department of Health and Wellness
28,Canada,Halifax NS,Health Department,Nova Scotia Health Authority
29,Canada,Windsor ON,Health insurer,Green Shield Canada (GSC)
30,Canada,Ottawa ON,Health promotion,BORN Ontario
31,Canada,Halifax NS,Hospital,IWK Health Centre
32,Canada,Toronto ON,Insurance company,The Independent Order of Foresters / Foresters Financial
33,Canada,Toronto ON,Mining company?,
34,Canada,Halifax NS,Pension plan,Nova Scotia pension plan
35,Canada,New Westminster BC,Police agency,Metro Vancouver Transit Police
36,Canada,Saulnierville NS,School board,Conseil scolaire acadien provincial (CSAP)
37,Canada,Halifax NS,Social service,Department of Community Services
38,Canada,,Software vendor?,
39,Canada,Halifax NS,Tourist Accommodations Registry,"Department of Communities, Culture, Tourism and Heritage / Tourist accommodation registry"
40,Canada,Halifax NS,Water utility,Halifax Water
41,Switzerland,,Automotive supplier?,
42,Switzerland,,Company?,
43,Switzerland,,Company?,
44,Switzerland,Landquart GR,Health insurance,ÖKK Kranken- und Unfallversicherungen AG (ÖKK)
45,Switzerland,,IT service provider?,
46,Switzerland,,IT wholesaler?,
47,Switzerland,,Pharmaceutical company?,
48,Switzerland,Geneva GE,Tobacco manufacturer,Japan Tobacco International
49,China,,Bank?,
50,China,,Electronic products supplier?,
51,Germany,Berlin,Association of statutory health insurers,AOK Bundesverband
52,Germany,,Automotive supplier?,
53,Germany,,Automotive supplier?,
54,Germany,Frankfurt/Main,Bank,Commerzbank / Comdirect
55,Germany,Frankfurt/Main,Bank,Deutsche Bank
56,Germany,Frankfurt/Main,Bank,ING-DiBa
57,Germany,Bonn,Bank,Postbank
58,Germany,,Banks,Sparda-Banken
59,Germany,,Bonus program?,
60,Germany,,Company?,
61,Germany,Heidelberg,Comparison Shopping Website,Verivox
62,Germany,Munich,Energy technology,Siemens Energy
63,Germany,Berlin,Health insurance company,Barmer
64,Germany,Munich,Insurance company,Bayern-Versicherung Lebensversicherung AG
65,Germany,Munich,Insurance company,Lebensversicherung von 1871
66,Germany,Düsseldorf,Insurance company,Provinzial / Provinzial Nordwest Lebensversicherung AG
67,Germany,Neuss,Insurance company,Provinzial / RheinLand Versicherungs AG
68,Germany,,Logistics company?,
69,Germany,,Logistics solutions?,
70,Germany,,Manufacturer?,
71,Germany,,Mechanical engineering company?,
72,Germany,Mainz,Media company,VRM
73,Germany,Heidelberg,Printing presses,Heidelberger Druckmaschinen AG
74,Germany,Alsfeld,Publishing company,Verlagsgesellschaft Vogelsberg GmbH & Co. KG
75,Germany,Gütersloh,Service provider for customer contact management,Majorel Deutschland
76,Germany,Stuttgart,Statutory health insurance,AOK Baden-Württemberg
77,Germany,Munich,Statutory health insurance,AOK Bayern
78,Germany,Bremen,Statutory health insurance,AOK Bremen/Bremerhaven
79,Germany,Bad Homburg vor der Höhe,Statutory health insurance,AOK Hessen
80,Germany,Hannover,Statutory health insurance,AOK Niedersachsen
81,Germany,Dresden,Statutory health insurance,AOK Plus
82,Germany,Eisenberg (Pfalz),Statutory health insurance,AOK Rheinland-Pfalz/Saarland
83,Germany,Magdeburg,Statutory health insurance,AOK Sachsen-Anhalt
84,Germany,,Technology company?,
85,Germany,,Technology company?,
86,Denmark,,Mechanical engineering company?,
87,Spain,,IT service provider?,
88,Finland,,Technology company,
89,France,Rueil-Malmaison,Electrical technology,Schneider Electric
90,France,Lyon,Hospital operator,Hospices Civils de Lyon
91,France,Boulogne-Billancourt,IT company,Cegedim
92,France,Paris,Laboratory,Synlab
93,France,Saint-Denis,Railway company,Société nationale des chemins de fer français (SNCF)
94,Guatemala,,Bank?,
95,Ireland,Dublin,Airline,Aer Lingus
96,Ireland,Dublin,Airport operator,Dublin Airport Authority (DAA)
97,Ireland,Dublin,Gambling company,Flutter
98,Ireland,Dublin,Health Department,Health Service Executive HSE
99,Ireland,,Packaging manufacturer?,
100,Ireland,,Regulatory authority?,
101,Israel,,Company?,
102,India,,Automotive supplier?,
103,India,,Diversified group?,
104,India,,Insurance company?,
105,Italy,,Accessories manufacturer?,
106,Japan,Tokyo,Electronics Group?,Sony
107,Luxembourg,,Company?,
108,Malaysia,Kuala Lumpur,Insurance company,Prudential Assurance Malaysia Berhad (PAMB)
109,Malaysia,Kuala Lumpur,Insurance company,Prudential BSN Takaful Berhad (PruBSN)
110,Malaysia,,IT service provider?,
111,Netherlands,,Company,
112,Netherlands,Amsterdam,Company,Navigation systems
113,Netherlands,,Health data?,
114,Netherlands,,Information services company?,
115,Netherlands,,IT service provider?,
116,Netherlands,The Hague,Petroleum company,Shell
117,Netherlands,,Plant engineering company?,
118,Netherlands,Arnhem,Power grid operator,Tennet
119,Netherlands,,Software company?,
120,Netherlands,The Hague,Vacation parks,Landal GreenParks
121,Norway,,Debt collection company,PRA Group
122,Oman,,Oil and gas producer?,
123,Philippines,,Bank,
124,Philippines,,Drink producer?,
125,,,Company/Organization,
126,,,Company/Organization,
127,,,Company/Organization,
128,,,Company/Organization,
129,Sweden,,Insurance company?,
130,Sweden,,Receivables management company?,
131,Turkey,,Aerospace company?,
132,Turkey,,Manufacturer?,
133,United Kingdom,London,Accounting firm,Ernst & Young
134,United Kingdom,,AI company?,
135,United Kingdom,London,Airline,British Airways
136,United Kingdom,London,Broadcaster,BBC
137,United Kingdom,Leicester,Communications service provider,Adare SEC Ltd
138,United Kingdom,London,Consulting company,Deloitte
139,United Kingdom,Alconbury Weald,County council,Cambridgeshire County Council
140,United Kingdom,Beeston,Health and beauty products,Boots UK
141,United Kingdom,Bristol,HR and payroll systems,Zellis
142,United Kingdom,,Insurance company?,
143,United Kingdom,,IT company,
144,United Kingdom,,IT service provider?,
145,United Kingdom,Slough,Logistics company,DHL Parcel UK
146,United Kingdom,,Mechanical engineering company?,
147,United Kingdom,,Oil and gas producer?,
148,United Kingdom,,Outsourcing company,
149,United Kingdom,,Printing and security solutions?,
150,United Kingdom,,Publishing company?,
151,United Kingdom,London,Regulatory Authority,Office of Communications Ofcom
152,United Kingdom,Egham,Retirement plan,Superannuation Arrangements of the University of London (SAUL)
153,United Kingdom,,Risk management,Aon
154,United Kingdom,London,Service provider,Accelya Global Ltd
155,United Kingdom,London,Toll accounting,Transport for London (TfL) / Ulez
156,United Kingdom,,Vacation apartments,
157,USA,Chicago IL,Accounting and consulting company,Crowe LLP
158,USA,Baltimore MD,Agency,Centers for Medicare & Medicaid Services (CMS)
159,USA,Providence RI,Agency,Rhode Island Government
160,USA,"Washington, D.C.",Agency,United States Office of Personnel Management (OPM)
161,USA,Las Vegas NV,Airline,Allegiant Air
162,USA,,Airline?,
163,USA,Burlington MA,Artificial intelligence,Nuance Communications
164,USA,,Automation technology manufacturer?,
165,USA,Indianapolis IN,Automotive supplier,Allison Transmission
166,USA,,Automotive supplier?,
167,USA,South Bend IN,Bank,1st Source Bank
168,USA,Miami FL,Bank,City National Bank of Florida
169,USA,Indiana PA,Bank,First Commonwealth Bank
170,USA,Muncie IN,Bank,First Merchants Bank
171,USA,Irvine CA,Bank,Pacific Premier Bank
172,USA,Dallas TX,Bank,PlainsCapital Bank / Hilltop Holdings
173,USA,Rockland MA,Bank,Rockland Trust
174,USA,Seattle WA,Bank,Sound Community Bank
175,USA,Denver CO,Bank,"Sunflower Bank, First National 1870, Guardian Mortgage"
176,USA,Portland OR,Bank,Umpqua Bank / Columbia Banking System
177,USA,Lincoln NE,Bank,Union Bank & Trust Company
178,USA,Vienna VA,Bank,United Bank
179,USA,Wayne NJ,Bank,Valley Bank
180,USA,San Rafael CA,Bank,Westamerica Bank
181,USA,,Bank?,
182,USA,,Bank?,
183,USA,,Bank?,
184,USA,,Bank?,
185,USA,,Bank?,
186,USA,,Bank?,
187,USA,,Beauty products supplier?,
188,USA,,Beauty products?,
189,USA,Aliso Viejo CA,Biotech company,Realm IDX
190,USA,,Biotech company?,
191,USA,,Biotech company?,
192,USA,Lewisburg TN,Casting,Walker Die Casting
193,USA,,Chemical company?,
194,USA,Leawood KS,Cinema operator,American Multi-Cinema / AMC Theatres
195,USA,Alfred NY,College,Alfred State College of Technology
196,USA,Owosso MI,College,Baker College
197,USA,Lewiston ME,College,Bates College
198,USA,Tacoma WA,College,Bates Technical College
199,USA,Houston TX,College,Baylor College of Medicine
200,USA,Bellevue WA,College,Bellevue College (BC)
201,USA,Bellingham WA,College,Bellingham Technical College
202,USA,Greensboro NC,College,Bennett College
203,USA,Bismarck ND,College,Bismarck State College (BSC)
204,USA,Janesville WI,College,Blackhawk Technical College
205,USA,Chadron NE,College,Chadron State College
206,USA,Cleveland TN,College,Cleveland State Community College
207,USA,Twin Falls ID,College,College of Southern Idaho
208,USA,Nampa ID,College,College of Western Idaho
209,USA,Dallas TX,College,Criswell College
210,USA,Milton MA,College,Curry College
211,USA,Bottineau ND,College,Dakota College at Bottineau (DCB)
212,USA,Cupertino CA,College,De Anza College
213,USA,Lynnwood WA,College,Edmonds College
214,USA,Farmingdale NY,College,Farmingdale State College
215,USA,Los Altos Hills CA,College,Foothill College
216,USA,Auburn WA,College,Green River College
217,USA,Clinton NY,College,Hamilton College
218,USA,Herkimer NY,College,Herkimer College
219,USA,Lake Forest IL,College,Lake Forest College
220,USA,Leesburg FL,College,Lake-Sumter State College
221,USA,Cass Lake MN,College,Leech Lake Tribal College (LLTC)
222,USA,Lewiston ID,College,Lewis-Clark State College
223,USA,Williamsport PA,College,Lycoming College
224,USA,Madison WI,College,Madison College
225,USA,Boston MA,College,Massachusetts College of Pharmacy and Health Sciences (MCPHS)
226,USA,Middlebury VT,College,Middlebury College
227,USA,Monterey CA,College,Monterey Peninsula College
228,USA,Coeur d’Alene ID,College,North Idaho College
229,USA,Tonkawa OK,College,Northern Oklahoma College (NOC)
230,USA,Bremerton WA,College,Olympic College
