,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,USA,"33,999,680",,"607,726 ",,"27,701,879",,"5,690,075","6,561","102,177","1,826","477,148,649","1,433,937","332,754,370 ",North America,10,548,1,,,"17,100"
1,India,"27,547,705",,"318,821 ",,"24,890,326",,"2,338,558","8,944","19,787",229,"336,969,353","242,035","1,392,234,846 ",Asia,51,"4,367",4,,,"1,680"
2,Brazil,"16,342,162",,"456,753 ",,"14,786,292",,"1,099,117","8,318","76,393","2,135","49,076,549","229,413","213,922,560 ",South America,13,468,4,,,"5,138"
3,France,"5,635,629",,"109,165 ",,"5,284,264",,"242,200","3,206","86,166","1,669","83,540,500","1,277,300","65,403,993 ",Europe,12,599,1,,,"3,703"
4,Turkey,"5,220,549",,"46,970 ",,"5,070,815",,"102,764","1,504","61,305",552,"53,258,116","625,411","85,156,923 ",Asia,16,"1,813",2,,,"1,207"
5,Russia,"5,035,207",,"120,002 ",,"4,651,849",,"263,356","2,300","34,490",822,"136,800,000","937,044","145,991,019 ",Europe,29,"1,217",1,,,"1,804"
6,UK,"4,473,677",,"127,758 ",,"4,310,572",,"35,347",125,"65,589","1,873","180,358,488","2,644,246","68,207,899 ",Europe,15,534,0,,,518
7,Italy,"4,205,970",,"125,793 ",,"3,826,984",,"253,193","1,206","69,657","2,083","65,423,542","1,083,504","60,381,433 ",Europe,14,480,1,,,"4,193"
8,Germany,"3,673,969",,"88,689 ",,"3,438,800",,"146,480","3,002","43,724","1,055","59,197,639","704,517","84,025,898 ",Europe,23,947,1,,,"1,743"
9,Argentina,"3,663,215",,"76,135 ",,"3,219,474",,"367,606","6,802","80,387","1,671","13,571,645","297,822","45,569,700 ",South America,12,599,3,,,"8,067"
10,Spain,"3,663,176",,"79,888 ",,"3,416,279",,"167,009","1,468","78,321","1,708","49,708,830","1,062,810","46,771,146 ",Europe,13,585,1,,,"3,571"
11,Colombia,"3,319,193",,"86,693 ",,"3,101,390",,"131,110","6,582","64,611","1,688","16,711,384","325,304","51,371,659 ",South America,15,593,3,,,"2,552"
12,Iran,"2,875,858",,"79,384 ",,"2,396,540",,"399,934","4,475","33,849",934,"19,430,249","228,696","84,961,178 ",Asia,30,"1,070",4,,,"4,707"
13,Poland,"2,869,652",,"73,440 ",,"2,632,483",,"163,729",873,"75,898","1,942","15,701,138","415,274","37,809,132 ",Europe,13,515,2,,,"4,330"
14,Mexico,"2,405,722","+3,000","222,657 ",+425,"1,921,510","+1,689","261,555","4,798","18,484","1,711","7,000,956","53,790","130,153,617 ",North America,54,585,19,23,3,"2,010"
15,Ukraine,"2,193,367",,"50,076 ",,"2,006,918",,"136,373",177,"50,427","1,151","10,105,901","232,341","43,495,914 ",Europe,20,869,4,,,"3,135"
16,Peru,"1,942,054",,"68,816 ",,"1,720,665",,"152,573","2,672","58,171","2,061","12,675,765","379,680","33,385,362 ",South America,17,485,3,,,"4,570"
17,Indonesia,"1,797,499",,"49,907 ",,"1,649,187",,"98,405",,"6,510",181,"16,393,840","59,370","276,130,306 ",Asia,154,"5,533",17,,,356
