Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Critical,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Case Every X ppl,1 Death Every X ppl,1 Test Every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
USA,36176471,0,631299,0,29787316,0,5757856,12705,108599,1895.0,540382349,1622187,333119610,North America,9,528,1,0.0,0,17285
India,31812114,1332,426321,0,30974748,7525,411045,8944,22808,306.0,474893363,340476,1394790627,Asia,44,3272,3,1.0,0,295
Brazil,20026533,0,559715,0,18800884,0,665934,8318,93492,2613.0,55034721,256923,214206978,South America,11,383,4,0.0,0,3109
Russia,6379904,23120,162509,794,5700212,20370,517183,2300,43697,1113.0,167400000,1146554,146002776,Europe,23,898,1,158.0,5,3542
France,6207416,0,112046,0,5721295,0,374075,1371,94869,1712.0,106839878,1632860,65431144,Europe,11,584,1,0.0,0,5717
UK,5952756,0,130000,0,4567516,0,1255240,887,87188,1904.0,248022317,3632696,68274991,Europe,11,525,0,0.0,0,18385
Turkey,5822487,0,51767,0,5478185,0,292535,543,68237,607.0,68908712,807575,85327919,Asia,15,1648,1,0.0,0,3428
Argentina,4975616,0,106747,0,4615834,0,253035,3748,109000,2338.0,19766387,433019,45647810,South America,9,428,2,0.0,0,5543
Colombia,4815063,0,121695,0,4615354,0,78014,8155,93544,2364.0,22769483,442351,51473844,South America,11,423,2,0.0,0,1516
Spain,4545184,0,81844,0,3760971,0,702369,1904,97172,1750.0,57177901,1222415,46774548,Europe,10,572,1,0.0,0,15016
Italy,4369964,0,128136,0,4144608,0,97220,260,72393,2123.0,78220645,1295800,60364738,Europe,14,471,1,0.0,0,1611
Iran,4057758,38674,92628,434,3467765,22967,497365,6170,47646,1088.0,26236676,308073,85163849,Asia,21,919,3,454.0,5,5840
Germany,3785981,0,92240,0,3661200,1300,32541,392,45030,1097.0,67083026,797883,84076272,Europe,22,911,1,0.0,0,387
Indonesia,3568331,35764,102375,1739,2947646,39726,518310,0,12897,370.0,27369907,98924,276675251,Asia,78,2703,10,129.0,6,1873
Mexico,2901094,20685,242547,611,2270427,12984,388120,4798,22246,1860.0,8603299,65972,130408837,North America,45,538,15,159.0,5,2976
Poland,2883624,176,75275,6,2654097,116,154252,42,76284,1991.0,18703666,494788,37801348,Europe,13,502,2,5.0,0,4081
South Africa,2484009,0,73415,0,2258603,0,151991,546,41315,1221.0,15031457,250011,60123146,Africa,24,819,4,0.0,0,2528
Ukraine,2256397,1052,53049,25,2188815,542,14533,177,51935,1221.0,11467613,263947,43446642,Europe,19,819,4,24.0,0,335
Peru,2119068,0,196673,0,0,0,0,1714,63309,5876.0,15669595,468141,33471975,South America,16,170,2,0.0,0,6027
Netherlands,1874856,0,17839,0,1672786,0,184231,197,109154,1039.0,16061819,935118,17176249,Europe,9,963,1,0.0,0,10726
Czechia,1674410,205,30371,0,1641485,4,2554,10,156040,2830.0,33423892,3114802,10730665,Europe,6,353,0,19.0,0,238
Iraq,1673084,0,18938,0,1494760,0,159386,1008,40605,460.0,13279918,322302,41203385,Asia,25,2176,3,0.0,0,3868
Philippines,1627816,8127,28427,196,1532494,4343,66895,2026,14643,256.0,16937010,152353,111169409,Asia,68,3911,7,73.0,2,602
