Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Critical,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Case Every X ppl,1 Death Every X ppl,1 Test Every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
USA,42288205,0,682341,0,32176784,0,9429080,25567,126863,2047.0,611216031,1833630,333336637,North America,8,489,1,0.0,0,28287
India,33315512,0,443528,0,32514629,0,357355,8944,23860,318.0,544444967,389917,1396309280,Asia,42,3148,3,0.0,0,256
Brazil,21019830,0,587847,0,20108417,0,323566,8318,98051,2742.0,57095219,266332,214375979,South America,10,365,4,0.0,0,1509
UK,7282810,0,134446,0,5847593,0,1300771,1056,106607,1968.0,286493464,4193721,68314857,Europe,9,508,0,0.0,0,19041
Russia,7176085,0,194249,0,6418033,0,563803,2300,49148,1330.0,184300000,1262244,146009762,Europe,20,752,1,0.0,0,3861
France,6917460,0,115697,0,6557639,0,244124,2151,105695,1768.0,132182518,2019679,65447277,Europe,9,566,0,0.0,0,3730
Turkey,6710666,0,60393,0,6201905,0,448368,633,78552,707.0,80738689,945091,85429525,Asia,13,1415,1,0.0,0,5248
Iran,5340656,0,115167,0,4627027,0,598462,7123,62622,1350.0,30123729,353216,85284277,Asia,16,741,3,0.0,0,7017
Argentina,5229848,0,113816,0,5080986,0,35046,1851,114453,2491.0,24252818,530763,45694223,South America,9,401,2,0.0,0,767
Colombia,4932998,0,125713,0,4771125,0,36160,542,95722,2439.0,24818784,481595,51534562,South America,10,410,2,0.0,0,702
Spain,4918526,0,85548,0,4608147,0,224831,1136,105149,1829.0,62288714,1331622,46776570,Europe,10,547,1,0.0,0,4806
Italy,4613214,0,130027,0,4360847,0,122340,554,76435,2154.0,87892474,1456263,60354818,Europe,13,464,1,0.0,0,2027
Indonesia,4174216,0,139415,0,3942473,0,92328,0,15069,503.0,35225834,127170,276999059,Asia,66,1987,8,0.0,0,333
Germany,4104216,0,93319,0,3852900,11100,157997,1217,48798,1110.0,70379237,836790,84106205,Europe,20,901,1,0.0,0,1879
