"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
USA,"44,483,993","+39,578","719,638 ",+654,"33,864,092","+47,598","9,900,263","19,651","133,415","2,158","644,091,641","1,931,734","333,426,623 ",North America,7,463,1,119,2,"29,692"
India,"33,812,523","+23,125","448,844 ",+239,"33,085,992","+25,012","277,687","8,944","24,205",321,"571,994,990","409,463","1,396,938,965 ",Asia,41,"3,112",2,17,0.2,199
Brazil,"21,459,117","+13,466","597,723 ",+431,"20,436,127","+3,484","425,267","8,318","100,068","2,787","57,282,520","267,119","214,446,053 ",South America,10,359,4,63,2,"1,983"
UK,"7,871,014","+30,301","136,910 ",+121,"6,387,267","+31,508","1,346,837",815,"115,189","2,004","304,621,001","4,457,995","68,331,387 ",Europe,9,499,0,443,2,"19,710"
Russia,"7,560,767","+25,219","209,028 ",+886,"6,710,574","+17,852","641,165","2,300","51,782","1,432","192,100,000","1,315,639","146,012,658 ",Europe,19,699,1,173,6,"4,391"
Turkey,"7,210,916","+27,973","64,467 ",+203,"6,664,242","+22,110","482,207",633,"84,366",754,"87,018,268","1,018,095","85,471,655 ",Asia,12,"1,326",1,327,2,"5,642"
France,"7,023,315","+4,948","116,789 ",+30,"6,788,312","+7,633","118,214","1,355","107,302","1,784","143,234,831","2,188,329","65,453,966 ",Europe,9,560,0,76,0.5,"1,806"
Iran,"5,611,700","+10,135","120,880 ",+217,"5,075,482","+21,931","415,338","5,802","65,761","1,417","32,306,789","378,591","85,334,211 ",Asia,15,706,3,119,3,"4,867"
Argentina,"5,259,352",+886,"115,239 ",+14,"5,121,667","+1,714","22,446","1,070","115,050","2,521","24,252,818","530,540","45,713,468 ",South America,9,397,2,19,0.3,491
Spain,"4,961,128",,"86,463 ",,"4,755,738",,"118,927",675,"106,058","1,848","64,557,887","1,380,108","46,777,408 ",Europe,9,541,1,,,"2,542"
Colombia,"4,959,144",,"126,336 ",,"4,801,028",,"31,780",542,"96,182","2,450","25,594,134","496,398","51,559,738 ",South America,10,408,2,,,616
Italy,"4,679,067","+3,312","130,998 ",+25,"4,455,320","+4,187","92,749",432,"77,531","2,171","93,115,007","1,542,898","60,350,705 ",Europe,13,461,1,55,0.4,"1,537"
Germany,"4,255,529","+4,534","94,289 ",+35,"4,018,500","+8,400","142,740","1,334","50,590","1,121","73,348,901","871,970","84,118,616 ",Europe,20,892,1,54,0.4,"1,697"
Indonesia,"4,218,142","+1,414","142,115 ",+89,"4,042,215","+2,380","33,812",,"15,221",513,"39,630,509","143,002","277,133,321 ",Asia,66,"1,950",7,5,0.3,122
Mexico,"3,671,611","+7,388","277,976 ",+471,"3,021,124","+7,924","372,511","4,798","28,108","2,128","10,702,352","81,933","130,623,369 ",North America,36,470,12,57,4,"2,852"
Poland,"2,909,776","+1,344","75,689 ",+23,"2,663,707",+620,"170,380",174,"76,989","2,003","20,985,041","555,236","37,794,804 ",Europe,13,499,2,36,0.6,"4,508"
South Africa,"2,905,613","+1,306","87,753 ",+48,"2,778,893","+1,903","38,967",546,"48,233","1,457","17,760,235","294,817","60,241,635 ",Africa,21,686,3,22,0.8,647
Philippines,"2,580,173","+14,786","38,656 ",+164,"2,397,456",+894,"144,061","3,170","23,161",347,"21,193,050","190,242","111,400,560 ",Asia,43,"2,882",5,133,1,"1,293"
