Age,Gender,Race,City,State,Year
44.0,Female,Asian,Alameda,CA,2000
34.0,Male,Unknown,Santa Ana,CA,2000
31.0,Female,Unknown,Windsor,CA,2000
28.0,Male,Unknown,Colorado Springs,CO,2000
47.0,Male,Unknown,Pownal,VT,2000
38.0,Male,Unknown,Turlock,CA,2000
40.0,Male,Unknown,Oakland,CA,2000
43.0,Male,Unknown,Sacramento,CA,2000
28.0,Male,Unknown,Salt Lake City,UT,2000
18.0,Male,Unknown,Gridley,CA,2000
Unknown,Male,Unknown,Pasadena,TX,2000
46.0,Male,Unknown,San Bernardino,CA,2000
74.0,Male,Unknown,Pleasant Grove,AL,2000
29.0,Male,Unknown,San Jose,CA,2000
40.0,Male,Unknown,San Diego,CA,2000
21.0,Male,Unknown,Chicago,IL,2000
40.0,Male,Unknown,Daly City,CA,2000
29.0,Male,Unknown,Clearwater,FL,2000
29.0,Male,Unknown,San Diego,CA,2000
46.0,Male,Unknown,Miami,FL,2000
17.0,Male,Unknown,Meridian,MS,2000
42.0,Male,Unknown,San Diego,CA,2000
17.0,Male,Unknown,Brooklyn,NY,2000
23.0,Male,Unknown,Berkeley,CA,2000
19.0,Male,Unknown,Levelland,TX,2000
31.0,Male,Unknown,Anchorage,AK,2000
36.0,Female,Unknown,Pasadena,TX,2000
19.0,Male,Unknown,Orlando,FL,2000
33.0,Male,Unknown,Livingston,MT,2000
21.0,Male,Unknown,Somerville,MA,2000
51.0,Male,Unknown,Upper Marlboro,MD,2000
43.0,Male,Unknown,Tampa,FL,2000
65.0,Male,Unknown,Miami,FL,2000
30.0,Male,Unknown,Anaheim,CA,2000
54.0,Male,Unknown,Portland,OR,2000
38.0,Male,Unknown,Big Bear,CA,2000
56.0,Male,Unknown,Colorado Springs,CO,2000
51.0,Male,Unknown,Fort Payne,AL,2000
37.0,Male,Unknown,Augusta,ME,2000
54.0,Male,Unknown,Jackson,LA,2000
35.0,Male,Unknown,Rohnert Park,CA,2000
37.0,Male,Unknown,Santa Rosa,CA,2000
39.0,Male,Unknown,Chicago,IL,2000
37.0,Male,Unknown,Stockton,CA,2000
17.0,Male,Unknown,Seattle,WA,2000
20.0,Male,Unknown,San Antonio,TX,2000
46.0,Male,Unknown,Phoenix,AZ,2000
43.0,Male,Unknown,Queens,NY,2000
37.0,Male,Unknown,Aurora,CO,2000
85.0,Male,Unknown,Hemet,CA,2000
37.0,Male,Unknown,Westminster,CO,2000
40.0,Male,Unknown,Mather,CA,2000
25.0,Male,Hispanic,North Tustin,CA,2000
22.0,Male,Hispanic,Los Angeles,CA,2000
25.0,Male,Hispanic,Pico Rivera,CA,2000
24.0,Male,Hispanic,Los Angeles,CA,2000
20.0,Male,Hispanic,Montebello,CA,2000
42.0,Male,Hispanic,Los Angeles,CA,2000
23.0,Male,Hispanic,Houston,TX,2000
Unknown,Male,Hispanic,San Diego,CA,2000
26.0,Male,Hispanic,Los Angeles,CA,2000
23.0,Male,Hispanic,Los Angeles,CA,2000
41.0,Male,Hispanic,Modesto,CA,2000
22.0,Male,Hispanic,Lynwood,CA,2000
23.0,Male,Hispanic,Riverside,CA,2000
34.0,Male,Hispanic,Los Angeles,CA,2000
43.0,Male,Hispanic,Pacific Palisades,CA,2000
19.0,Male,Hispanic,Albuquerque,NM,2000
22.0,Male,Hispanic,Lubbock,TX,2000
33.0,Male,Hispanic,Houston,TX,2000
19.0,Male,Hispanic,Nipinnawasee,CA,2000
47.0,Male,Hispanic,Lancaster,CA,2000
46.0,Male,Hispanic,Norwalk,CA,2000
51.0,Male,Hispanic,Fresno,CA,2000
43.0,Male,Hispanic,Denver,CO,2000
48.0,Male,Unknown,Amsterdam-Churchill,MT,2000
18.0,Male,Black,Chicago,IL,2000
Unknown,Male,Unknown,El Paso,TX,2000
37.0,Male,Unknown,Queens,NY,2000
88.0,Male,Unknown,Stockton,CA,2000
20.0,Female,Unknown,San Diego,CA,2000
26.0,Male,Unknown,Laurel,MD,2000
43.0,Male,Unknown,Franklin,LA,2000
31.0,Male,Unknown,Boca Raton,FL,2000
Unknown,Male,Unknown,Southgate,MI,2000
Unknown,Male,Unknown,Southgate,MI,2000
33.0,Male,Unknown,Pompano Beach,FL,2000
20.0,Male,Unknown,Phoenix,AZ,2000
21.0,Male,Black,Conroe,TX,2000
25.0,Male,Unknown,San Diego,CA,2000
26.0,Male,Unknown,Phoenix,AZ,2000
Unknown,Male,Unknown,Atlanta,GA,2000
Unknown,Male,Unknown,Garland,TX,2000
17.0,Male,Unknown,Tampa,FL,2000
24.0,Male,Unknown,Moreno Valley,CA,2000
31.0,Male,Unknown,Muscoy,CA,2000
23.0,Male,Unknown,Charlotte,NC,2000
48.0,Male,Unknown,Idaho Falls,ID,2000
29.0,Male,Unknown,Paris,TX,2000
29.0,Male,Unknown,Monahans,TX,2000
32.0,Male,Unknown,Sumner,ME,2000
23.0,Male,Hispanic,Fresno,CA,2000
20.0,Male,Unknown,Jackson,LA,2000
25.0,Male,Unknown,Seattle,WA,2000
33.0,Male,Unknown,La Porte,TX,2000
39.0,Male,Unknown,Manteca,CA,2000
26.0,Male,Unknown,Borrego Springs,CA,2000
32.0,Male,Unknown,Mountain View,CA,2000
17.0,Male,Unknown,Mountain View,CA,2000
21.0,Female,Unknown,Brooklyn,NY,2000
51.0,Male,Unknown,Orleans,VT,2000
17.0,Male,Unknown,Monroe,LA,2000
33.0,Male,Unknown,Brooklyn,NY,2000
19.0,Male,Unknown,Cleveland,OH,2000
43.0,Male,Unknown,Potts Camp,MS,2000
32.0,Male,Unknown,Pensacola,FL,2000
23.0,Male,Unknown,Pompano Beach,FL,2000
41.0,Male,Unknown,Shreveport,LA,2000
19.0,Male,Unknown,Fairfield,OR,2000
19.0,Male,Unknown,Ambler,AK,2000
17.0,Male,Unknown,Whittier,NC,2000
48.0,Male,Unknown,Ventura,CA,2000
36.0,Male,Unknown,Tucson,AZ,2000
78.0,Male,Unknown,Tucson,AZ,2000
43.0,Male,Unknown,Sacramento,CA,2000
39.0,Male,Unknown,San Jose,CA,2000
26.0,Male,Unknown,Pine Valley,CA,2000
39.0,Male,Unknown,St. Petersburg,FL,2000
38.0,Male,Unknown,Bethesda,MD,2000
38.0,Male,Unknown,Ketchikan,AK,2000
24.0,Male,Unknown,Moreno Valley,CA,2000
29.0,Male,Unknown,Dorchester,MA,2000
34.0,Male,Unknown,Corona,CA,2000
25.0,Male,Unknown,Brooklyn,NY,2000
32.0,Male,Unknown,Brooklyn,NY,2000
33.0,Male,Unknown,Essex,MD,2000
33.0,Male,Unknown,Redwood City,CA,2000
40.0,Male,Unknown,San Jose,CA,2000
32.0,Male,Unknown,Grasonville,MD,2000
20.0,Male,Unknown,Rancho Cordova,CA,2000
30.0,Male,Unknown,La Habra,CA,2000
32.0,Male,Unknown,Ontario,CA,2000
55.0,Male,Unknown,Modesto,CA,2000
43.0,Male,Unknown,Hayward,CA,2000
35.0,Male,Unknown,Syracuse,NY,2000
42.0,Male,Unknown,Baltimore,MD,2000
27.0,Male,Unknown,Roxbury,MA,2000
40.0,Male,Unknown,Daly City,CA,2000
20.0,Male,Unknown,Marina Del Rey,CA,2000
37.0,Male,Unknown,Santa Clarita,CA,2000
25.0,Male,Unknown,Camp Hill,PA,2000
46.0,Male,Unknown,Chattanooga,TN,2000
31.0,Male,Unknown,Grand Coteau,LA,2000
41.0,Male,Unknown,San Diego,CA,2000
25.0,Male,Unknown,Haughton,LA,2000
22.0,Male,Unknown,Rialto,CA,2000
27.0,Male,Unknown,Towanda,IL,2000
52.0,Male,Unknown,Gilchrest,CO,2000
40.0,Female,Unknown,Orlando,FL,2000
Unknown,Male,Unknown,Sacramento,CA,2000
Unknown,Male,Unknown,Sacramento,CA,2000
17.0,Male,Unknown,"""West Town, Chicago""",IL,2000
39.0,Male,Unknown,Pompano Beach,FL,2000
29.0,Male,Unknown,Stockton,CA,2000
22.0,Male,Unknown,Salinas,CA,2000
37.0,Male,Unknown,Bakersfield,CA,2000
47.0,Male,Unknown,Carmichael,CA,2000
72.0,Male,Unknown,Clarkesville,GA,2000
27.0,Male,Unknown,Tempe,AZ,2000
39.0,Male,Unknown,Glendive,MT,2000
45.0,Male,Unknown,Haines City,FL,2000
25.0,Male,Unknown,Queens,NY,2000
20.0,Male,Unknown,San Diego,CA,2000
16.0,Male,Unknown,Peoria,AZ,2000
37.0,Male,Unknown,San Jose,CA,2000
47.0,Male,Unknown,Albuquerque,NM,2000
43.0,Male,Unknown,Charlotte,NC,2000
23.0,Male,Unknown,Killeen,TX,2000
38.0,Male,Unknown,Empire,CA,2000
36.0,Male,Unknown,Bingham,ME,2000
51.0,Male,Unknown,Sunnyvale,CA,2000
30.0,Male,Unknown,Hendersonville,NC,2000
34.0,Male,Unknown,North Hollywood,CA,2000
22.0,Male,Unknown,San Diego,CA,2000
26.0,Male,Unknown,Las Cruces,NM,2000
45.0,Male,Unknown,Miami,FL,2000
80.0,Male,Unknown,El Segundo,CA,2000
38.0,Male,Unknown,Rancho Cucamonga,CA,2000
25.0,Male,Unknown,Falls Church,VA,2000
59.0,Male,Unknown,Fort Lauderdale,FL,2000
20.0,Male,Unknown,Laurel,MS,2000
41.0,Male,Unknown,Hilmar,CA,2000
38.0,Male,Unknown,Greenville,MS,2000
71.0,Male,Unknown,Portland,OR,2000
37.0,Male,Unknown,LaBelle,FL,2000
37.0,Male,Unknown,Prospect Heights,IL,2000
21.0,Male,Unknown,Clinton,NJ,2000
29.0,Male,Unknown,Stanton,CA,2000
24.0,Male,Unknown,Jacksonville,FL,2000
29.0,Male,Unknown,Central,LA,2000
22.0,Male,Unknown,Amarillo,TX,2000
47.0,Male,Unknown,Brooklyn,NY,2000
41.0,Male,Unknown,Lula,MS,2000
30.0,Male,Unknown,Longmont,CO,2000
11.0,Male,Hispanic,Modesto,CA,2000
30.0,Male,Unknown,Jacksonville,FL,2000
22.0,Male,Hispanic,Los Angeles,CA,2000
23.0,Male,Black,Bronx,NY,2000
29.0,Male,Black,Houston,TX,2000
26.0,Male,Black,Oakland,CA,2000
15.0,Male,Black,Jersey City,NJ,2000
29.0,Male,Black,Providence,RI,2000
26.0,Male,Black,Bala Cywyd,PA,2000
26.0,Male,Black,New York,NY,2000
45.0,Male,Black,Dothan,AL,2000
29.0,Male,White,Saint Paul,MN,2000
37.0,Male,White,Monrovia,CA,2000
31.0,Male,White,Pahrump,NV,2000
37.0,Female,White,Pahrump,NV,2000
70.0,Male,White,Tomball,TX,2000
67.0,Male,White,Cripple Creek,CO,2000
34.0,Male,White,Portland,OR,2000
40.0,Male,Black,Chicago,IL,2000
23.0,Male,Black,New Orleans,LA,2000
34.0,Male,Black,Town Creek,AL,2000
17.0,Male,Black,Chicago,IL,2000
47.0,Male,Black,Los Angeles,CA,2000
36.0,Male,Black,Berkeley,MO,2000
68.0,Male,Black,Baton Rouge,LA,2000
48.0,Male,Black,Fort Myers,FL,2000
42.0,Male,Black,Temple Hills,MD,2000
20.0,Male,Black,Chicago,IL,2000
19.0,Male,Black,Ft. Pierce,FL,2000
33.0,Male,Black,Long Beach,CA,2000
30.0,Male,Black,Long Beach,CA,2000
17.0,Male,Black,Los Angeles,CA,2000
40.0,Male,Black,Seattle,WA,2000
20.0,Male,Black,Gulfport,MS,2000
19.0,Male,Black,Brooklyn,NY,2000
17.0,Male,Black,Brooklyn,NY,2000
43.0,Male,White,Mesa,AZ,2000
37.0,Male,Black,Louisville,KY,2000
25.0,Male,White,Houston,TX,2000
36.0,Male,White,Warrenton,OR,2000
27.0,Female,White,Lake Forest,CA,2000
43.0,Male,White,Fresno,CA,2000
50.0,Male,White,Montrose,CA,2000
23.0,Male,White,Las Vegas,NV,2000
22.0,Male,White,Picayune,MS,2000
35.0,Male,White,Long Beach,CA,2000
31.0,Male,White,Baltimore,MD,2000
31.0,Male,White,Phoenix,AZ,2000
21.0,Male,White,Reno,NV,2000
44.0,Male,White,Phoenix,AZ,2000
22.0,Male,Native,Fairbanks,AK,2000
22.0,Male,Native,Flagstaff,AZ,2000
36.0,Male,Asian,Rosemead,CA,2000
26.0,Male,Asian,Fresno,CA,2000
28.0,Male,White,Astoria,NY,2000
29.0,Male,White,Chattanooga,TN,2000
49.0,Male,White,Houston,TX,2000
34.0,Male,White,Minneapolis,MN,2000
52.0,Male,White,Farmington,MN,2000
32.0,Male,White,Sarasota,FL,2000
44.0,Male,White,Gardena,CA,2000
30.0,Male,White,Houston,TX,2000
30.0,Male,Hispanic,Richmond,CA,2000
53.0,Male,White,Huntsville,AL,2000
27.0,Male,White,Merced,CA,2000
27.0,Male,White,Woodland Hills,CA,2000
31.0,Male,White,Tucson,AZ,2000
27.0,Male,White,Garland,TX,2000
49.0,Female,White,Minneapolis,MN,2000
25.0,Male,White,Pleasanton,CA,2000
27.0,Male,White,Boise,ID,2000
42.0,Male,White,Woodbury,MN,2000
31.0,Male,White,Los Angeles,CA,2000
47.0,Male,White,Grovetown,GA,2000
28.0,Male,Black,Oakland,CA,2000
27.0,Male,White,Tempe,AZ,2000
19.0,Male,Black,Las Vegas,NV,2000
27.0,Male,Black,Inglewood,CA,2000
23.0,Male,Black,Tallulah,LA,2000
61.0,Male,Black,Lebanon,TN,2000
15.0,Male,Black,Garland,TX,2000
35.0,Male,Black,North Charleston,SC,2000
45.0,Male,Black,East Windsor,NJ,2000
16.0,Male,Black,Tampa,FL,2000
35.0,Male,Black,Lynwood,CA,2000
29.0,Male,Hispanic,Harlingen,TX,2000
32.0,Male,Hispanic,Whittier,CA,2000
26.0,Male,Hispanic,Nogales,AZ,2000
49.0,Male,Hispanic,Baytown,TX,2000
27.0,Female,Hispanic,Kent,WA,2000
60.0,Male,Hispanic,West Dallas,TX,2000
52.0,Male,Hispanic,Los Angeles,CA,2000
44.0,Male,Hispanic,Lubbock,TX,2000
38.0,Female,Black,Goodman,MS,2000
37.0,Male,Black,"""Grand Boulevard, Chicago""",IL,2000
28.0,Male,Black,Birmingham,AL,2000
54.0,Male,Black,North Las Vegas,NV,2000
23.0,Male,Black,Gardena,CA,2000
31.0,Male,Black,Montgomery,AL,2000
30.0,Male,Black,Edina,MN,2000
26.0,Male,Black,Richmond,CA,2000
22.0,Male,Black,"""South Shore, Chicago""",IL,2000
39.0,Male,Black,Detroit,MI,2000
36.0,Male,Black,Los Angeles,CA,2000
36.0,Male,Black,North Las Vegas,NV,2000
25.0,Male,Black,Los Angeles,CA,2000
39.0,Male,Black,Beverly Hills,CA,2000
29.0,Male,Black,Minneapolis,MN,2000
17.0,Male,Black,San Diego,CA,2000
41.0,Male,Black,New Orleans,LA,2000
54.0,Male,Black,Carson,CA,2000
26.0,Male,Black,Aurora,CO,2000
37.0,Male,Unknown,Mobile,AL,2001
47.0,Male,Unknown,St. Augustine,FL,2001
28.0,Male,Unknown,Mesquite,TX,2001
40.0,Male,Unknown,Dallas,TX,2001
29.0,Male,Unknown,Garden Grove,CA,2001
24.0,Male,Unknown,Garden Grove,CA,2001
52.0,Male,Unknown,Minneapolis,MN,2001
23.0,Male,Unknown,San Luis Obispo,CA,2001
30.0,Male,Unknown,Cottonwood,AZ,2001
22.0,Male,Unknown,Washington,DC,2001
45.0,Male,Unknown,Brooklyn,NY,2001
27.0,Male,Unknown,Colorado Springs,CO,2001
31.0,Female,Unknown,McKinney,TX,2001
45.0,Male,Unknown,Sacramento,CA,2001
50.0,Male,Unknown,Boynton Beach,FL,2001
42.0,Male,Unknown,Bozeman,MT,2001
43.0,Male,Unknown,Brewster,NY,2001
