name,bias,total_votes,agree,disagree,agree_ratio,agreeance_text,allsides_page
ABC News (Online),left-center,51173,33893,17280,1.9614004629629629,Agrees,https://www.allsides.com/news-source/abc-news-media-bias
Above The Law,left-center,346,234,112,2.0892857142857144,Strongly Agrees,https://www.allsides.com/news-source/above-law-media-bias
Abridge News,allsides,593,367,226,1.6238938053097345,Agrees,https://www.allsides.com/news-source/abridge-news-media-bias
AJ+,left,740,564,176,3.2045454545454546,Absolutely Agrees,https://www.allsides.com/news-source/aj-media-bias
Al Jazeera,left-center,12095,4798,7297,0.6575304919830067,Disagrees,https://www.allsides.com/news-source/al-jazeera-media-bias
AllSides,allsides,5782,4151,1631,2.5450643776824036,Strongly Agrees,https://www.allsides.com/news-source/allsides
AllSides Community,allsides,4081,2603,1478,1.7611637347767253,Agrees,https://www.allsides.com/news-source/allsides-community
AlterNet,left,15599,12889,2710,4.756088560885609,Absolutely Agrees,https://www.allsides.com/news-source/alternet-media-bias
American Greatness,right,629,466,163,2.8588957055214723,Strongly Agrees,https://www.allsides.com/news-source/american-greatness-media-bias
American Thinker,right,2922,1907,1015,1.8788177339901477,Agrees,https://www.allsides.com/news-source/american-thinker
AP Politics & Fact Check,left-center,9027,4142,4885,0.8479017400204708,Somewhat Disagrees,https://www.allsides.com/news-source/ap-fact-check-media-bias
Aquinas College Saint,left,1626,994,632,1.5727848101265822,Agrees,https://www.allsides.com/news-source/aquinas-college-saint
Arkansas Democrat-Gazette,left,1856,1061,795,1.3345911949685534,Somewhat Agrees,https://www.allsides.com/news-source/arkansas-democrat-gazette
Associated Press,center,44836,25493,19343,1.3179444760378431,Somewhat Agrees,https://www.allsides.com/news-source/associated-press-media-bias
Atlanta Black Star,left-center,185,68,117,0.5811965811965812,Disagrees,https://www.allsides.com/news-source/atlanta-black-star-media-bias
Atlanta Journal-Constitution,left-center,2037,1066,971,1.09783728115345,Somewhat Agrees,https://www.allsides.com/news-source/atlanta-journal-constitution
Austin American-Statesman,left-center,1623,897,726,1.2355371900826446,Somewhat Agrees,https://www.allsides.com/news-source/austin-american-statesman
Axios,center,11208,5439,5769,0.9427977119084764,Somewhat Disagrees,https://www.allsides.com/news-source/axios
AZ Central,center,586,221,365,0.6054794520547945,Disagrees,https://www.allsides.com/news-source/az-central-media-bias
Babylon Bee (Humor),right-center,702,517,185,2.7945945945945945,Strongly Agrees,https://www.allsides.com/news-source/babylon-bee-media-bias
Barnstable Patriot,center,1262,580,682,0.8504398826979472,Somewhat Disagrees,https://www.allsides.com/news-source/barnstable-patriot
BBC News,center,52197,28080,24117,1.1643239208856824,Somewhat Agrees,https://www.allsides.com/news-source/bbc-news-media-bias
Bearing Drift,right,1311,706,605,1.1669421487603306,Somewhat Agrees,https://www.allsides.com/news-source/bearing-drift
BET,left-center,652,260,392,0.6632653061224489,Disagrees,https://www.allsides.com/news-source/bet-media-bias
Biblical Gender Roles,right,186,144,42,3.4285714285714284,Absolutely Agrees,https://www.allsides.com/news-source/biblical-gender-roles-media-bias
Biblical Sexology,right,143,102,41,2.4878048780487805,Strongly Agrees,https://www.allsides.com/news-source/biblical-sexology-media-bias
Bizpac Review,right,123,84,39,2.1538461538461537,Strongly Agrees,https://www.allsides.com/news-source/bizpac-review-media-bias
Black Enterprise,left-center,183,64,119,0.5378151260504201,Disagrees,https://www.allsides.com/news-source/black-enterprise-media-bias
Block Club Chicago,left,105,70,35,2.0,Agrees,https://www.allsides.com/news-source/book-club-chicago-media-bias
Bloomberg,left-center,35781,15248,20533,0.7426094579457458,Somewhat Disagrees,https://www.allsides.com/news-source/bloomberg-media-bias
Blue Virginia,left,1424,836,588,1.4217687074829932,Somewhat Agrees,https://www.allsides.com/news-source/blue-virginia
Boing Boing,left,1572,955,617,1.5478119935170178,Agrees,https://www.allsides.com/news-source/boing-boing
Boston Herald,right-center,1057,587,470,1.248936170212766,Somewhat Agrees,https://www.allsides.com/news-source/boston-herald-media-bias
Boston Herald Editorial,right-center,606,305,301,1.0132890365448506,Somewhat Agrees,https://www.allsides.com/news-source/boston-herald-editorial-media-bias
Boston Review,left-center,114,57,57,1.0,Neutral,https://www.allsides.com/news-source/boston-review-media-bias
Bowling Green Daily News,left-center,1320,638,682,0.9354838709677419,Somewhat Disagrees,https://www.allsides.com/news-source/bowling-green-daily-news
Braver Angels,allsides,242,135,107,1.2616822429906542,Somewhat Agrees,https://www.allsides.com/news-source/braver-angels-media-bias
Breitbart News,right,48836,37866,10970,3.4517775752051048,Absolutely Agrees,https://www.allsides.com/news-source/breitbart
Bridgemi.com,center,265,150,115,1.3043478260869565,Somewhat Agrees,https://www.allsides.com/news-source/bridgemicom-media-bias
Brown Girl Magazine,left,162,124,38,3.263157894736842,Absolutely Agrees,https://www.allsides.com/news-source/brown-girl-magazine-media-bias
Bustle,left-center,1722,869,853,1.018757327080891,Somewhat Agrees,https://www.allsides.com/news-source/bustle
BuzzFeed News,left,32356,23346,9010,2.591120976692564,Strongly Agrees,https://www.allsides.com/news-source/buzzfeed-media-bias
Byron Donalds,right-center,20,14,6,2.3333333333333335,Strongly Agrees,https://www.allsides.com/news-source/byron-donalds-media-bias
C-SPAN,center,5321,4031,1290,3.1248062015503875,Absolutely Agrees,https://www.allsides.com/news-source/c-span
CalMatters,center,1443,779,664,1.1731927710843373,Somewhat Agrees,https://www.allsides.com/news-source/calmatters
CalWatchdog,center,1213,584,629,0.9284578696343402,Somewhat Disagrees,https://www.allsides.com/news-source/calwatchdog
Care2,left,1318,646,672,0.9613095238095238,Somewhat Disagrees,https://www.allsides.com/news-source/care-2
CBN,right,10493,6954,3539,1.9649618536309692,Agrees,https://www.allsides.com/news-source/cbn
CBS News (Online),left-center,29889,18240,11649,1.5657996394540303,Agrees,https://www.allsides.com/news-source/cbs-news-media-bias
Center - Major Media Sources,center,1308,701,607,1.1548599670510709,Somewhat Agrees,https://www.allsides.com/news-source/center-major-media-sources
Center for Public Integrity,left-center,1608,742,866,0.8568129330254042,Somewhat Disagrees,https://www.allsides.com/news-source/center-public-integrity
Centre View,left-center,1325,633,692,0.9147398843930635,Somewhat Disagrees,https://www.allsides.com/news-source/centre-view
Check Your Fact,right-center,320,130,190,0.6842105263157895,Somewhat Disagrees,https://www.allsides.com/news-source/check-your-fact-media-bias
Chicago Crusader,left,84,64,20,3.2,Absolutely Agrees,https://www.allsides.com/news-source/chicago-crusader-media-bias
Chicago Defender,left,130,98,32,3.0625,Absolutely Agrees,https://www.allsides.com/news-source/chicago-defender-media-bias
Chicago Sun-Times,left-center,1765,875,890,0.9831460674157303,Somewhat Disagrees,https://www.allsides.com/news-source/chicago-sun-times
Chicago Tribune,center,5929,2076,3853,0.5388009343368804,Disagrees,https://www.allsides.com/news-source/chicago-tribune
Christian Science Monitor,center,33790,15096,18694,0.8075318283941372,Somewhat Disagrees,https://www.allsides.com/news-source/christian-science-monitor
Christianity Today,right-center,478,188,290,0.6482758620689655,Disagrees,https://www.allsides.com/news-source/christianity-today-media-bias
City Journal,right,925,518,407,1.2727272727272727,Somewhat Agrees,https://www.allsides.com/news-source/city-journal-media-bias
CNBC,center,9259,2973,6286,0.47295577473751194,Strongly Disagrees,https://www.allsides.com/news-source/cnbc
CNET,center,876,470,406,1.1576354679802956,Somewhat Agrees,https://www.allsides.com/news-source/cnet
CNN (Online News),left,95762,48734,47028,1.0362762609509228,Somewhat Agrees,https://www.allsides.com/news-source/cnn-media-bias
CNN (Opinion),left,38576,31595,6981,4.525855894570978,Absolutely Agrees,https://www.allsides.com/news-source/cnn-editorial
CNN Business,left-center,68,40,28,1.4285714285714286,Somewhat Agrees,https://www.allsides.com/news-source/cnn-business-media-bias
CNSNews.com,right,1766,984,782,1.258312020460358,Somewhat Agrees,https://www.allsides.com/news-source/cnsnewscom
Columbia Journalism Review,center,739,254,485,0.5237113402061856,Disagrees,https://www.allsides.com/news-source/columbia-journalism-review
Columbia Missourian,center,48,28,20,1.4,Somewhat Agrees,https://www.allsides.com/news-source/columbia-missourian-media-bias
Commentary Magazine,right,549,275,274,1.0036496350364963,Somewhat Agrees,https://www.allsides.com/news-source/commentary-magazine-media-bias
Common Dreams,left,122,94,28,3.357142857142857,Absolutely Agrees,https://www.allsides.com/news-source/common-dreams-media-bias
Concord Monitor,center,120,56,64,0.875,Somewhat Disagrees,https://www.allsides.com/news-source/concord-monitor
Conservative HQ,right,1370,941,429,2.1934731934731935,Strongly Agrees,https://www.allsides.com/news-source/conservative-hq
Cook Report,center,1605,967,638,1.5156739811912225,Agrees,https://www.allsides.com/news-source/cook-report
Counter Currents,left-center,667,380,287,1.32404181184669,Somewhat Agrees,https://www.allsides.com/news-source/counter-currents
Counterpointing,allsides,801,416,385,1.0805194805194804,Somewhat Agrees,https://www.allsides.com/news-source/counterpointing
CrowdPAC,center,929,452,477,0.9475890985324947,Somewhat Disagrees,https://www.allsides.com/news-source/crowdpac
CU Independent,center,852,387,465,0.832258064516129,Somewhat Disagrees,https://www.allsides.com/news-source/cu-independent
Current Affairs,left,656,453,203,2.231527093596059,Strongly Agrees,https://www.allsides.com/news-source/current-affairs-media-bias
Daily Beast,left,24330,18421,5909,3.1174479607378576,Absolutely Agrees,https://www.allsides.com/news-source/daily-beast-media-bias
Daily Breeze,center,58,21,37,0.5675675675675675,Disagrees,https://www.allsides.com/news-source/daily-breeze-media-bias
Daily Cardinal,center,950,454,496,0.9153225806451613,Somewhat Disagrees,https://www.allsides.com/news-source/daily-cardinal
Daily Chela,left,74,41,33,1.2424242424242424,Somewhat Agrees,https://www.allsides.com/news-source/daily-chela-media-bias
Daily Citizen,right,115,79,36,2.1944444444444446,Strongly Agrees,https://www.allsides.com/news-source/daily-citizen-media-bias
Daily Kos,left,7796,5701,2095,2.721241050119332,Strongly Agrees,https://www.allsides.com/news-source/daily-kos
Daily Mail,right,17189,11090,6099,1.8183308739137563,Agrees,https://www.allsides.com/news-source/daily-mail
Daily Northwestern,left-center,842,409,433,0.9445727482678984,Somewhat Disagrees,https://www.allsides.com/news-source/daily-northwestern
Daily Press,right-center,918,404,514,0.7859922178988327,Somewhat Disagrees,https://www.allsides.com/news-source/daily-press
Daily Progress,center,941,462,479,0.964509394572025,Somewhat Disagrees,https://www.allsides.com/news-source/daily-progress
Daily Targum,left-center,721,292,429,0.6806526806526807,Somewhat Disagrees,https://www.allsides.com/news-source/daily-targum
Defense One,center,657,336,321,1.0467289719626167,Somewhat Agrees,https://www.allsides.com/news-source/defense-one-media-bias
Democracy Now,left,15606,12703,2903,4.3758181191870476,Absolutely Agrees,https://www.allsides.com/news-source/democracy-now
Des Moines Register,center,377,150,227,0.6607929515418502,Disagrees,https://www.allsides.com/news-source/desmoines-register
Deseret News,right-center,3121,1256,1865,0.6734584450402145,Somewhat Disagrees,https://www.allsides.com/news-source/deseret-news
Desiring God,right-center,60,31,29,1.0689655172413792,Somewhat Agrees,https://www.allsides.com/news-source/desiring-god-media-bias
Detroit Free Press,left-center,604,278,326,0.852760736196319,Somewhat Disagrees,https://www.allsides.com/news-source/detroit-free-press
