id,expression_id,referenced_word_id,start,length
95128,8214,8214,0,4
95129,19244,19244,0,4
95130,30422,30422,0,7
95131,32459,32459,0,5
95132,32483,32483,0,5
95133,32533,32533,0,12
95134,32649,32649,0,13
95135,32663,32663,0,10
95136,32913,32913,0,4
95137,33048,33048,0,9
95138,33240,33240,0,13
95139,33279,33279,0,8
95140,33432,33432,0,4
95141,33558,33558,0,11
95142,34310,34310,0,8
95143,35466,35466,0,15
95144,40079,40079,0,15
95145,53528,53528,0,12
95148,59728,97,0,4
95149,59728,97,5,5
95150,59737,52,0,2
95151,59737,2797,3,8
95152,59738,513,0,6
95153,59738,231,7,4
95154,59739,513,0,6
95155,59739,80,7,4
95156,59740,513,0,6
95157,59740,233,7,5
95158,59741,119,0,6
95159,59741,7,7,3
95160,59745,5,0,2
95161,59745,58,3,5
95162,59745,67,9,4
95163,59762,1575,0,5
95164,59767,10,0,1
95165,59767,8,2,3
95166,59841,59840,0,8
95169,59895,1089,0,11
95170,59895,1340,12,11
95171,59907,59906,0,11
95172,59907,32436,12,4
95173,59916,6263,0,9
95174,59916,1999,10,8
95175,59962,5989,9,12
95176,59983,1350,0,6
95177,60012,153,8,5
95178,60028,16013,0,8
95179,60028,1387,9,5
95180,60035,9564,0,5
95181,60035,43,6,3
95182,60036,9564,0,5
95183,60036,43,6,3
95184,60036,7256,10,8
95185,60044,26,0,3
95186,60044,14,4,3
95187,60052,6306,0,9
95188,60052,100,10,3
95189,60058,3,0,2
95190,60060,29,0,2
95191,60061,59750,0,3
95192,60061,2142,4,7
95193,60064,19,0,1
95194,60064,1348,2,9
95195,60065,38,0,5
95196,60065,27,6,2
95197,60066,26,0,3
95198,60066,27,4,2
95199,60068,1672,0,7
95200,60068,702,8,9
95201,60082,2951,0,5
95202,60087,3701,9,6
95203,60088,821,0,5
95204,60088,132,6,6
95205,60089,3701,7,6
95206,60093,29,0,2
95207,60093,92,3,6
95208,60093,52,10,2
95209,60093,127,13,3
95210,60095,30643,0,5
95211,60101,52,0,2
95212,60101,440,3,7
95213,60116,10,0,1
95214,60116,627,2,3
95215,60116,1888,6,5
95216,60128,1043,5,6
95217,60130,1,0,1
95218,60130,554,7,8
95219,60133,2595,0,3
95220,60133,663,4,4
95221,60134,16,0,2
95222,60134,1831,3,9
95223,60134,10,13,1
95224,60137,996,0,8
95225,60137,5,9,2
95226,60139,52,0,2
95227,60143,2790,0,4
95228,60143,20849,5,6
95229,60144,2790,0,4
95230,60144,7165,5,8
95231,60148,774,0,12
95232,60148,7145,13,5
95233,60170,5,7,2
95234,60170,127,10,4
95235,60183,17244,0,5
95236,60183,3433,6,6
95237,60185,6628,5,6
95240,60204,1711,0,6
95241,60204,19,7,1
95242,60204,326,9,6
95243,60211,71,0,2
95244,60211,7,3,3
95245,60211,292,7,1
95246,60212,14,0,3
95247,60212,39,4,6
95248,60213,440,0,6
95249,60213,32343,7,5
95250,60214,33,0,1
95251,60241,64,0,4
95252,60241,3,5,2
95253,60262,8,6,4
95254,60285,5,0,2
95255,60285,223,3,5
95256,60303,5,0,2
95257,60303,432,3,4
